2;;EU;Miloslav Cink;LS 8;4,016
3;1;LT;Jeroen Jennen;LS 8;3,846
4;1;CM;Dennis Huybreckx;LS 8;3,843
5;5;DI;Maros Divok;Discus 2b;3,783
6;1;JS;Juha Sorri;Discus 2b;3,778
7;2;YB;Norbert Scarlat;Discus 2a;3,768
8;1;AIB;Andreas Belz;Discus 2a;3,738
9;3;ET;Louis Bouderlique;Discus 2a;3,724
10;1;MK;Marko Zettier;Discus 2a;3,723
11;;2SI;Sjaak Selen;Discus 2a;3,640
12;;Y;Mateusz Siodloczek;Discus 2a;3,627
13;4;AJ;Aku Jaakkola;Discus 2a;3,570
14;1;SI;Dominik Jancik;LS 8;3,528
15;3;I;Lukasz Błaszczyk;Discus 2a;3,516
16;;CFM1;Guillaume Girard;Discus 2a;3,513
17;2;6;Howard Jones;Discus 2a;3,476
18;4;YA;Alex Pop;Discus 2a;3,454
19;1;TA;Jan-Ola Nordh;Discus 2b;3,450
20;1;DT;Dmitriy Timoshenko;Discus 2a;3,436
21;1;IKI;Richard Swanstrom;Discus 2b;3,275
22;1;SR;Robbie Seton;LS 8;3,258
23;;AX;Mogens Hoelgaard;Discus 2a;3,018
24;1;LR;Luca Urbani;Discus 2a;2,910
25;1;104;George Metcalfe;ASW 28;2,905
26;;AB;Yves Gerster;LS 8;2,890
27;;V;Vittorio Squarciafico;LS 8;2,570
