2;;2S;Sjaak Selen;Discus 2a;7,293
3;;DT;Dmitriy Timoshenko;Discus 2a;7,071
4;;ST;Stefan Leutenegger;Discus 2b;6,908
5;1;F1;David Bromley;LS 8;6,856
6;1;GG;Vittorio Pinni;LS 8;6,850
7;;ET;Christophe Cousseau;Discus 2a;6,679
8;;SI;Dominik Jancik;LS 8;6,629
9;;AU;Pavel Louzecky;LS 8;6,617
HC;;ZN;John Coutts;LS 8;6,503
10;;EL;Sören Nölke;Discus 2b;6,489
11;;EU;Miloslav Cink;LS 8;6,406
12;2;X;Achim Reuther;LS 8;6,342
13;;AJ;Aku Jaakkola;Discus 2a;6,317
14;2;CFM1;Lucas Delobel;Discus 2a;6,287
15;1;JS;Juha Sorri;Discus 2b;6,131
16;1;KC;Rene Schneebeli;Discus 2b;5,803
17;1;A;Przemyslaw Bartczak;LS 8;5,683
18;3;232;Jay Rebbeck;LS 8;5,581
19;;KG;Bernhard Leitner;Discus 2a;5,367
20;;IS;Aurel Hallbrucker;LS 8;5,348
21;;TC;Samuel Pollak;LS 8 ;4,044
22;;5;Vittorio Squarciafico;Discus 2a;3,318
